# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
16   1   15
16   2   17
16   3   17
16   4   17
16   5   17
16   6   17
16   7   17
16   8   17
16   9   17
16   10   17
16   11   17
16   12   17
16   13   17
16   14   17
16   15   17
16   16   17
16   17   17
16   18   17
16   19   17
16   20   17
16   21   17
16   22   17
16   23   17
16   24   17
16   25   17
16   26   17
16   27   17
16   28   17
16   29   17
16   30   17
16   31   17
16   32   17
16   33   17
16   34   17
16   35   17
16   36   17
16   37   17
16   38   17
16   39   17
16   40   17
16   41   17
16   42   17
16   43   17
16   44   17
16   45   17
16   46   17
16   47   17
16   48   17
16   49   17
16   50   17
16   51   17
16   52   17
16   53   17
16   54   17
16   55   17
16   56   17
16   57   17
16   58   17
16   59   17
16   60   17
16   61   17
16   62   17
16   63   17
16   64   17
16   65   17
16   66   17
16   67   17
16   68   17
16   69   17
16   70   17
16   71   17
16   72   17
16   73   17
16   74   17
16   75   17
16   76   17
16   77   17
16   78   17
16   79   17
16   80   17
16   81   17
16   82   17
16   83   17
16   84   17
16   85   17
16   86   17
16   87   17
16   88   17
16   89   17
16   90   17
16   91   17
16   92   17
16   93   17
16   94   17
16   95   17
16   96   17
16   97   17
16   98   17
16   99   17
16   100   17
16   101   17
16   102   17
16   103   17
16   104   17
16   105   17
16   106   17
16   107   17
16   108   17
16   109   17
16   110   17
16   111   17
16   112   17
16   113   17
16   114   17
16   115   17
16   116   17
16   117   17
16   118   17
16   119   17
16   120   17
16   121   17
16   122   17
16   123   17
16   124   17
16   125   17
16   126   17
16   127   17
16   128   17
16   129   17
16   130   17
16   131   17
16   132   17
16   133   17
16   134   17
16   135   17
