# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
8   1   7
8   2   9
8   3   9
8   4   9
8   5   9
8   6   9
8   7   9
8   8   9
8   9   9
8   10   9
8   11   9
8   12   9
8   13   9
8   14   9
8   15   9
8   16   9
8   17   9
8   18   9
8   19   9
8   20   9
8   21   9
8   22   9
8   23   9
8   24   9
8   25   9
8   26   9
8   27   9
8   28   9
8   29   9
8   30   9
8   31   9
8   32   9
8   33   9
8   34   9
8   35   9
8   36   9
8   37   9
8   38   9
8   39   9
8   40   9
8   41   9
8   42   9
8   43   9
8   44   9
8   45   9
8   46   9
8   47   9
8   48   9
8   49   9
8   50   9
8   51   9
8   52   9
8   53   9
8   54   9
8   55   9
8   56   9
8   57   9
8   58   9
8   59   9
8   60   9
8   61   9
8   62   9
8   63   9
8   64   9
8   65   9
8   66   9
8   67   9
8   68   9
8   69   9
8   70   9
8   71   9
8   72   9
8   73   9
8   74   9
8   75   9
8   76   9
8   77   9
8   78   9
8   79   9
8   80   9
8   81   9
8   82   9
8   83   9
8   84   9
8   85   9
8   86   9
8   87   9
8   88   9
8   89   9
8   90   9
8   91   9
8   92   9
8   93   9
8   94   9
8   95   9
8   96   9
8   97   9
8   98   9
8   99   9
8   100   9
8   101   9
8   102   9
8   103   9
8   104   9
8   105   9
8   106   9
8   107   9
8   108   9
8   109   9
8   110   9
8   111   9
8   112   9
8   113   9
8   114   9
8   115   9
8   116   9
8   117   9
8   118   9
8   119   9
8   120   9
8   121   9
8   122   9
8   123   9
8   124   9
8   125   9
8   126   9
8   127   9
8   128   9
8   129   9
8   130   9
8   131   9
8   132   9
8   133   9
8   134   9
